副本产品博文2
文件来源,标题,作者,UID,MID,内容,链接,发博时间,用户类型,博文类型,互动,粉丝数,是否敏感,场景,
成衣_Dior_DIOR TEARS限定系列,"DIOR TEARS限定系列，同我一起领略  @DIOR迪奥 工坊的匠心技艺和该系列作品的精裁风范。

Tears
A tear like dew, glistening on the pedals of flowers, reflecting your true self and inner beauty.
Naturally revealing elegance. ??",余景天-YJT,7064708862,4924594086222075,"DIOR TEARS限定系列，同我一起领略  @DIOR迪奥 工坊的匠心技艺和该系列作品的精裁风范。

Tears
A tear like dew, glistening on the pedals of flowers, reflecting your true self and inner beauty.
Naturally revealing elegance. ??",http://weibo.com/7064708862/NajNSq6E3,2023-07-17 20:49:47,金V,原创,1056389,4757598,正面,邀约观赏,邀约观赏
成衣_Dior_DIOR TEARS限定系列,"沉浸于迪奥二零二三秋季男装DIOR TEARS限定系列上海张园活动现场, 感受美式典型理念与法式精湛工艺的兼容并蓄。@DIOR迪奥 ??",侯明昊Neo,1831550987,4924808062043889,"沉浸于迪奥二零二三秋季男装DIOR TEARS限定系列上海张园活动现场, 感受美式典型理念与法式精湛工艺的兼容并蓄。@DIOR迪奥 ??",http://weibo.com/1831550987/Napn08zHX,2023-07-18 11:00:03,金V,原创,213529,16837005,正面,线下活动,理念体验
成衣_Dior_DIOR TEARS限定系列,"DIOR TEARS限定系列限时精品店于七月十七日在上海张园隆重揭幕。#迪奥中国品牌挚友侯明昊# @侯明昊Neo 、#迪奥中国品牌挚友余景天# @余景天-YJT 、青年演员@王子奇是演员王子奇 、#迪奥中国品牌挚友荣梓杉# @荣梓杉 亮相开幕现场，共赏美式理念与法式优雅的艺术对话。

敬请点击链接，探索更多：  ???",DIOR迪奥,2130860695,4924993030591551,"DIOR TEARS限定系列限时精品店于七月十七日在上海张园隆重揭幕。#迪奥中国品牌挚友侯明昊# @侯明昊Neo 、#迪奥中国品牌挚友余景天# @余景天-YJT 、青年演员@王子奇是演员王子奇 、#迪奥中国品牌挚友荣梓杉# @荣梓杉 亮相开幕现场，共赏美式理念与法式优雅的艺术对话。

敬请点击链接，探索更多：  ???",http://weibo.com/2130860695/Naubl2tT9,2023-07-18 23:15:03,蓝V,原创,208207,10473945,正面,线下活动,
成衣_Dior_DIOR TEARS限定系列,"#迪奥中国品牌挚友余景天# @余景天-YJT 精彩演绎迪奥二零二三秋季男装DIOR TEARS限定系列。休闲背心与个性牛仔再现复古潮流造型，焕新演绎摩登时尚。

敬请点击链接，探索更多：    ??",DIOR迪奥,2130860695,4924487185206865,"#迪奥中国品牌挚友余景天# @余景天-YJT 精彩演绎迪奥二零二三秋季男装DIOR TEARS限定系列。休闲背心与个性牛仔再现复古潮流造型，焕新演绎摩登时尚。

敬请点击链接，探索更多：    ??",http://weibo.com/2130860695/Nah1slQxH,2023-07-17 13:45:00,蓝V,原创,120618,10473945,正面,新品发布,明星穿搭
成衣_Dior_DIOR TEARS限定系列,"探寻@DIOR迪奥 时尚理念与文化意象的交织, 感受迪奥二零二三秋季男装DIOR TEARS限定系列全新一季的时尚美学。#夏日青春派对##今天很wow#",王子奇是演员王子奇,5999417377,4924560585002617,"探寻@DIOR迪奥 时尚理念与文化意象的交织, 感受迪奥二零二三秋季男装DIOR TEARS限定系列全新一季的时尚美学。#夏日青春派对##今天很wow#",http://weibo.com/5999417377/NaiVQkZpn,2023-07-17 18:36:40,金V,原创,108557,7207839,正面,理念体验,理念体验
成衣_Dior_DIOR TEARS限定系列,"#迪奥中国品牌挚友余景天# @余景天-YJT 精彩演绎迪奥二零二三秋季男装DIOR TEARS限定系列。DIOR TEARS针织背心搭配刺绣工艺牛仔裤，再现五十年代复古形态；潮流卫衣添注摩登风貌，映射时尚活力，彰显法式韵致。

敬请点击链接，探索更多：",DIOR迪奥,2130860695,4924494734954086,"#迪奥中国品牌挚友余景天# @余景天-YJT 精彩演绎迪奥二零二三秋季男装DIOR TEARS限定系列。DIOR TEARS针织背心搭配刺绣工艺牛仔裤，再现五十年代复古形态；潮流卫衣添注摩登风貌，映射时尚活力，彰显法式韵致。

敬请点击链接，探索更多：",http://weibo.com/2130860695/NahdDkMMC,2023-07-17 14:15:00,蓝V,原创,74709,10473945,正面,明星穿搭,
成衣_Dior_DIOR TEARS限定系列,"#迪奥中国品牌挚友余景天# @余景天-YJT 精彩演绎DIOR TEARS限定系列，开启七夕心动旅程。短袖衬衫与工装短裤彰显不羁风范，棉花图案与经典OBLIQUE印花层叠相交，赋予牛仔套装与马鞍包崭新面貌，添赋无尽创意，造就专属心意。

敬请点击链接，探索更多：  ??",DIOR迪奥,2130860695,4930236321631433,"#迪奥中国品牌挚友余景天# @余景天-YJT 精彩演绎DIOR TEARS限定系列，开启七夕心动旅程。短袖衬衫与工装短裤彰显不羁风范，棉花图案与经典OBLIQUE印花层叠相交，赋予牛仔套装与马鞍包崭新面貌，添赋无尽创意，造就专属心意。

敬请点击链接，探索更多：  ??",http://weibo.com/2130860695/NcGAg6Qpr,2023-08-02 10:30:01,蓝V,原创,52338,10473945,正面,明星穿搭,
成衣_Dior_DIOR TEARS限定系列,"#迪奥中国品牌挚友侯明昊# @侯明昊Neo 亮相上海张园DIOR TEARS限定系列限时精品店活动现场。牛仔面料与精湛刺绣工艺碰撞出非凡魅力，尽展都市风范。

敬请点击链接，探索更多：  ??",DIOR迪奥,2130860695,4925268589019378,"#迪奥中国品牌挚友侯明昊# @侯明昊Neo 亮相上海张园DIOR TEARS限定系列限时精品店活动现场。牛仔面料与精湛刺绣工艺碰撞出非凡魅力，尽展都市风范。

敬请点击链接，探索更多：  ??",http://weibo.com/2130860695/NaBlMBQlQ,2023-07-19 17:30:00,蓝V,原创,51108,10473945,正面,明星穿搭,
成衣_Dior_DIOR TEARS限定系列,"迪奥于爱意佳节心动呈现DIOR TEARS限定系列，全新系列融蕴自在格调，塑造优雅风尚，由#迪奥中国品牌挚友余景天# @余景天-YJT 浪漫演绎。

视频音乐节选自CKTRL作品。

敬请点击链接，探索更多：    ???",DIOR迪奥,2130860695,4930228767954696,"迪奥于爱意佳节心动呈现DIOR TEARS限定系列，全新系列融蕴自在格调，塑造优雅风尚，由#迪奥中国品牌挚友余景天# @余景天-YJT 浪漫演绎。

视频音乐节选自CKTRL作品。

敬请点击链接，探索更多：    ???",http://weibo.com/2130860695/NcGo4xnny,2023-08-02 10:00:00,蓝V,原创,43863,10473945,正面,官宣代言,节日礼赠
成衣_Dior_DIOR TEARS限定系列,"音乐制作人、演员@刘宪华Henry-Lau 精彩演绎迪奥二零二三秋季男装DIOR TEARS限定系列。精裁西装尽显优雅风尚，休闲搭配描绘洒脱型格；缤纷条纹纵横于学院风夹克之中，层叠混搭以全新视角诠释先锋格调。

敬请点击链接，探索更多：  ??",DIOR迪奥,2130860695,4924479634933429,"音乐制作人、演员@刘宪华Henry-Lau 精彩演绎迪奥二零二三秋季男装DIOR TEARS限定系列。精裁西装尽显优雅风尚，休闲搭配描绘洒脱型格；缤纷条纹纵横于学院风夹克之中，层叠混搭以全新视角诠释先锋格调。

敬请点击链接，探索更多：  ??",http://weibo.com/2130860695/NagPhkHpr,2023-07-17 13:15:00,蓝V,原创,41179,10473945,正面,明星穿搭,
